dblp_key	custom_key	venue	year	author_label	base_key	original_bib_key
journals/combinatorica/AbrishamiACHS24	COMB:AACHS24	combinatorica	2024	AACHS	COMB:AACHS24	DBLP:journals/combinatorica/AbrishamiACHS24
journals/combinatorica/AgarwalAPPS97	COMB:AAPPS97	combinatorica	1997	AAPPS	COMB:AAPPS97	DBLP:journals/combinatorica/AgarwalAPPS97
journals/combinatorica/AharoniBBSZ22	COMB:ABBSZ22	combinatorica	2022	ABBSZ	COMB:ABBSZ22	DBLP:journals/combinatorica/AharoniBBSZ22
journals/combinatorica/AraujoBDKM18	COMB:ABDKM18	combinatorica	2018	ABDKM	COMB:ABDKM18	DBLP:journals/combinatorica/AraujoBDKM18
journals/combinatorica/AspnesBFR94	COMB:ABFR94	combinatorica	1994	ABFR	COMB:ABFR94	DBLP:journals/combinatorica/AspnesBFR94
journals/combinatorica/AharoniBGK25	COMB:ABGK25	combinatorica	2025	ABGK	COMB:ABGK25	DBLP:journals/combinatorica/AharoniBGK25
journals/combinatorica/AllenBHKP17	COMB:ABHKP17	combinatorica	2017	ABHKP	COMB:ABHKP17	DBLP:journals/combinatorica/AllenBHKP17
journals/combinatorica/AdamsBHL10	COMB:ABHL10	combinatorica	2010	ABHL	COMB:ABHL10	DBLP:journals/combinatorica/AdamsBHL10
journals/combinatorica/AzarBKLP96	COMB:ABKLP96	combinatorica	1996	ABKLP	COMB:ABKLP96	DBLP:journals/combinatorica/AzarBKLP96
journals/combinatorica/AlievBLL17	COMB:ABLL17	combinatorica	2017	ABLL	COMB:ABLL17	DBLP:journals/combinatorica/AlievBLL17
journals/combinatorica/AndrewsCGKTZ10	COMB:ACGKTZ10	combinatorica	2010	ACGKTZ	COMB:ACGKTZ10	DBLP:journals/combinatorica/AndrewsCGKTZ10
journals/combinatorica/AyreCGM20	COMB:ACGM20	combinatorica	2020	ACGM	COMB:ACGM20	DBLP:journals/combinatorica/AyreCGM20
journals/combinatorica/AragaoCOS25	COMB:ACOS25	combinatorica	2025	ACOS	COMB:ACOS25	DBLP:journals/combinatorica/AragaoCOS25
journals/combinatorica/ArasuDJP91	COMB:ADJP91	combinatorica	1991	ADJP	COMB:ADJP91	DBLP:journals/combinatorica/ArasuDJP91
